Room_ID,RoomDesc,FloorID,DateCaptured,CapturerID,DateModified,ModifierID,Enabled
510,R0325,44,2024-04-22 21:40:59.333,199,NULL,NULL,1
511,R0484,68,2024-04-22 21:41:33.513,199,NULL,NULL,1
512,R0494,173,2024-04-22 22:43:54.350,199,NULL,NULL,1
513,R0CAR,174,2024-10-07 17:18:00.480,199,NULL,NULL,1
514,R0456,68,2024-10-07 17:19:11.843,199,NULL,NULL,1
515,R0458,68,2024-10-07 17:19:57.270,199,NULL,NULL,1
516,R0478,68,2024-10-07 17:20:25.210,199,NULL,NULL,1
517,R0485,68,2024-10-07 17:20:48.733,199,NULL,NULL,1
518,R0508,2,2024-10-07 17:21:20.373,199,NULL,NULL,1
519,R0515,23,2024-10-07 17:22:00.427,199,NULL,NULL,1
520,R0519,23,2024-10-07 17:22:33.127,199,NULL,NULL,1
521,R0525,175,2024-10-07 17:24:43.127,199,NULL,NULL,1
522,R0530,177,2024-10-07 17:26:16.147,199,NULL,NULL,1
523,R0551,178,2024-10-07 17:28:10.770,199,NULL,NULL,1
524,R0598,68,2024-10-07 17:28:38.733,199,NULL,NULL,1
525,R0600,68,2024-10-07 17:29:04.277,199,NULL,NULL,1
526,RCHAIN,50,2024-10-07 17:29:49.893,199,NULL,NULL,1
527,R0518,176,2024-10-10 13:39:44.680,199,NULL,NULL,1
528,R0PHO,2,2024-10-14 12:32:53.217,199,NULL,NULL,1
529,R0PHO,8,2024-10-14 12:33:58.650,199,NULL,NULL,1
530,R0PHO,11,2024-10-14 12:34:47.240,199,NULL,NULL,1
531,R0PHO,14,2024-10-14 12:35:22.760,199,NULL,NULL,1
532,R0PHO,175,2024-10-14 12:35:43.453,199,NULL,NULL,1
533,R0PHO,32,2024-10-14 12:37:15.910,199,NULL,NULL,1
534,R0PHO,35,2024-10-14 12:37:47.763,199,NULL,NULL,1
535,R0PHO,44,2024-10-14 12:38:27.960,199,NULL,NULL,1
536,R0PHO,177,2024-10-14 12:39:09.137,199,NULL,NULL,1
537,R0PHO,174,2024-10-14 12:39:33.717,199,NULL,NULL,1
538,R0PHO,173,2024-10-14 12:40:25.987,199,NULL,NULL,1
539,R0PHO,68,2024-10-14 12:42:01.173,199,NULL,NULL,1
540,R0AUC,2,2024-10-14 12:42:15.803,199,NULL,NULL,1
541,R0AUC,8,2024-10-14 12:42:34.127,199,NULL,NULL,1
542,R0AUC,11,2024-10-14 12:42:50.237,199,NULL,NULL,1
543,R0AUC,15,2024-10-14 12:43:06.580,199,NULL,NULL,1
544,R0AUC,17,2024-10-14 12:43:22.600,199,NULL,NULL,1
545,R0AUC,23,2024-10-14 12:43:39.440,199,NULL,NULL,1
546,R0AUC,32,2024-10-14 12:43:58.300,199,NULL,NULL,1
547,R0AUC,38,2024-10-14 12:44:19.203,199,NULL,NULL,1
548,R0AUC,44,2024-10-14 12:44:35.720,199,NULL,NULL,1
549,R0AUC,56,2024-10-14 12:44:55.917,199,NULL,NULL,1
550,R0AUC,173,2024-10-14 12:45:24.227,199,NULL,NULL,1
551,R0AUC,65,2024-10-14 12:45:45.620,199,NULL,NULL,1
552,R0AUC,68,2024-10-14 12:46:00.520,199,NULL,NULL,1
553,R0CHA,15,2024-10-14 12:46:39.603,199,NULL,NULL,1
554,R0CHA,44,2024-10-14 12:47:02.753,199,NULL,NULL,1
555,R0CHA,68,2024-10-14 12:47:17.943,199,NULL,NULL,1
556,R0CHA,179,2024-10-14 12:49:18.480,199,NULL,NULL,1
557,R5007,2,2024-11-07 19:50:09.460,199,NULL,NULL,1
558,R508,2,2024-11-07 19:51:14.767,199,NULL,NULL,1
559,R551,178,2024-11-07 19:52:17.030,199,NULL,NULL,1
560,R552,178,2024-11-07 19:52:40.000,199,NULL,NULL,1
561,R553,178,2024-11-07 19:52:58.347,199,NULL,NULL,1
562,R554,178,2024-11-07 19:53:10.520,199,NULL,NULL,1
563,R555,178,2024-11-07 19:53:25.480,199,NULL,NULL,1
564,R529,177,2025-01-28 12:27:58.520,169,NULL,NULL,1
565,R532,177,2025-01-28 12:41:50.480,169,NULL,NULL,1
566,R0452,44,2025-04-29 20:08:26.300,271,NULL,NULL,1
567,R0524,177,2025-10-03 14:16:01.823,199,NULL,NULL,1
568,R0526,177,2025-10-03 14:16:27.127,199,NULL,NULL,1
569,R052,177,2025-10-03 14:16:42.060,199,NULL,NULL,1
570,R0527,177,2025-10-03 14:17:02.430,199,NULL,NULL,1
571,R0528,177,2025-10-03 14:17:17.200,199,NULL,NULL,1
572,R0534,177,2025-10-03 14:17:42.780,199,NULL,NULL,1
573,348,194,2025-10-03 14:18:22.257,199,NULL,NULL,1
574,R0313,2,2025-10-03 14:20:07.723,199,2025-10-03 14:20:56.003,199,1
575,R0347,2,2025-10-03 14:20:34.053,199,NULL,NULL,1
576,R0507,2,2025-10-03 14:21:51.723,199,NULL,NULL,1
577,R511,2,2025-10-03 14:22:05.727,199,NULL,NULL,1
578,R509,2,2025-10-03 14:22:18.573,199,NULL,NULL,1
579,R0SKI,181,2025-10-03 14:22:42.113,199,NULL,NULL,1
