AssetCIDMSSubComponentTypeID,AssetCIDMSSubComponentTypeDesc,AssetCIDMSComponentTypeID,Infrastructure,Nature,Enabled,DateCaptured,CapturerID,DateModified,ModifierID,Default
239,Footpath,505,1,1,1,2021-06-14 14:44:35.470,199,NULL,NULL,NULL
240,External Facilities,2,0,1,1,2021-06-14 14:44:58.637,199,2021-06-14 14:45:30.593,199,NULL
241,Landscaping,507,1,1,1,2021-06-14 14:48:03.727,199,NULL,NULL,NULL
242,Perimeter Protection,508,1,1,1,2021-06-14 14:48:23.777,199,NULL,NULL,NULL
243,Sign - General,509,1,1,1,2021-06-14 14:48:44.733,199,NULL,NULL,NULL
244,Small Building - Enclosure,510,1,1,1,2021-06-14 14:49:08.603,199,NULL,NULL,NULL
245,Land,511,1,1,1,2021-06-14 14:49:52.877,199,NULL,NULL,NULL
246,Land,512,1,1,1,2021-06-14 14:51:19.423,199,NULL,NULL,NULL
247,Fabricated Steel,513,1,1,1,2021-06-14 14:52:05.963,199,NULL,NULL,NULL
248,License testing centre,426,1,1,1,2021-06-14 15:01:04.000,199,NULL,NULL,NULL
249,Walls,514,1,1,1,2021-06-14 15:07:25.613,199,NULL,NULL,NULL
250,Road Structural Layer,535,1,1,1,2021-06-14 15:07:34.840,199,NULL,NULL,NULL
251,RC Structure,515,1,1,1,2021-06-14 15:07:43.530,199,NULL,NULL,NULL
252,Culvert,516,1,1,1,2021-06-14 15:08:18.630,199,NULL,NULL,NULL
253,Earthworks,517,1,1,1,2021-06-14 15:08:41.457,199,NULL,NULL,NULL
254,Irrigation,518,1,1,1,2021-06-14 15:09:05.093,199,NULL,NULL,NULL
255,Masonry Structure,519,1,1,1,2021-06-14 15:09:23.463,199,NULL,NULL,NULL
256,Pipe - Storm Water,520,1,1,1,2021-06-14 15:09:42.773,199,NULL,NULL,NULL
257,RC Structure,521,1,1,1,2021-06-14 15:10:11.947,199,NULL,NULL,NULL
258,Steel Structure,522,1,1,1,2021-06-14 15:10:44.063,199,NULL,NULL,NULL
259,Tank,523,1,1,1,2021-06-14 15:11:03.060,199,NULL,NULL,NULL
260,External Furniture,524,1,1,1,2021-06-14 15:12:25.073,199,NULL,NULL,NULL
261,External Lighting,525,1,1,1,2021-06-14 15:12:47.347,199,NULL,NULL,NULL
262,Paving,526,1,1,1,2021-06-14 15:13:10.367,199,NULL,NULL,NULL
