283,Qora,1,2017-07-02 14:47:14.000,1,NULL,NULL,283,NULL,NULL
284,Ngunduza,1,2017-07-02 14:47:14.000,1,NULL,NULL,284,NULL,NULL
285,Kobonqaba,1,2017-07-02 14:47:14.000,1,NULL,NULL,285,NULL,NULL
286,Ncizela,1,2017-07-02 14:47:14.000,1,NULL,NULL,286,NULL,NULL
287,Ncerana,1,2017-07-02 14:47:14.000,1,NULL,NULL,287,NULL,NULL
288,Columbia,1,2017-07-02 14:47:14.000,1,NULL,NULL,288,NULL,NULL
289,Qoboqobo,1,2017-07-02 14:47:14.000,1,NULL,NULL,289,NULL,NULL
290,Nquise,1,2017-07-02 14:47:14.000,1,NULL,NULL,290,NULL,NULL
291,Nxaxa,1,2017-07-02 14:47:14.000,1,NULL,NULL,291,NULL,NULL
292,Nyutura,1,2017-07-02 14:47:14.000,1,NULL,NULL,292,NULL,NULL
293,Nkondwana,1,2017-07-02 14:47:14.000,1,NULL,NULL,293,NULL,NULL
294,Gxara,1,2017-07-02 14:47:14.000,1,NULL,NULL,294,NULL,NULL
295,Gcina J.S.S,1,2017-07-02 14:47:14.000,1,NULL,NULL,295,NULL,NULL
296,Rwantsana,1,2017-07-02 14:47:14.000,1,NULL,NULL,296,NULL,NULL
297,Rwantsana(Farm),1,2017-07-02 14:47:14.000,1,NULL,NULL,297,NULL,NULL
298,Nkondwana,1,2017-07-02 14:47:14.000,1,NULL,NULL,298,NULL,NULL
299,Ngqwara J.S.S,1,2017-07-02 14:47:14.000,1,NULL,NULL,299,NULL,NULL
300,Centane,1,2017-07-02 14:47:14.000,1,NULL,NULL,300,NULL,NULL
301,Centane,1,2017-07-02 14:47:14.000,1,NULL,NULL,301,NULL,NULL
302,135 Centane,1,2017-07-02 14:47:14.000,1,NULL,NULL,302,NULL,NULL
303,Lusizi J.S.S,1,2017-07-02 14:47:14.000,1,NULL,NULL,303,NULL,NULL
304,Ncedisizwe S.S.S,1,2017-07-02 14:47:14.000,1,NULL,NULL,304,NULL,NULL
